year,bage,mean_renthog,median_renthog,mean_riquezanet,median_riquezanet,ratio_mean_wealth,ratio_median_wealth
2002,Menor de 35 anos,26940.6192306555,23017.8,80423.5666492267,48343.4,1,1
2002,Entre 35 y 44 anos,29877.571460931,23869.4,122934.628469556,87319.8,1.52858961112412,1.806240355457
2002,Entre 45 y 54 anos,37072.7909680396,27717.8,191473.427289137,120983.4,2.38081243181196,2.50258359982955
2002,Entre 55 y 64 anos,34183.8975074916,25034,214159.590461351,121819.4,2.66289595679614,2.51987654984962
2002,Entre 65 y 74 anos,21134.0674263835,15170.6,147742.171959316,97881.4,1.83705073170535,2.02471071542341
2002,Mayor de 74 anos,13596.5261967646,9729.8,115244.518871593,73465,1.43296950972394,1.51964901103356
2005,Menor de 35 anos,27111.2094435311,21904.4,126365.849593331,71136.332,1,1
2005,Entre 35 y 44 anos,34012.066204495,25315.272,197908.061118748,157567.966,1.56615147016107,2.21501392565476
2005,Entre 45 y 54 anos,37365.5323261789,28880.75,318739.98906614,218426.546,2.52235861264657,3.07053428056988
2005,Entre 55 y 64 anos,36402.9458430584,25645.266,387828.532553479,230018.494,3.06909290604687,3.23348825463759
2005,Entre 65 y 74 anos,20377.6325120885,14048.978,234651.013897123,180711.13,1.85691794620361,2.54034928312019
2005,Mayor de 74 anos,12962.7082173706,9323.058,199567.624101915,134524.28,1.57928447238048,1.89107698159079
2008,Menor de 35 anos,31166.4438340257,26463,136714.032028131,74571,1,1
2008,Entre 35 y 44 anos,34967.5076107955,29468.6,200570.735993597,149828.8,1.46708229592941,2.00921001461694
2008,Entre 45 y 54 anos,41423.6457983004,31280,316883.524490433,197435.2,2.31785662224657,2.64761368360355
2008,Entre 55 y 64 anos,41669.8804454066,31045,425809.067169554,270516.4,3.11459665736387,3.62763540786633
2008,Entre 65 y 74 anos,24477.1770871559,17799.6,321921.742925641,192099.8,2.35470886309169,2.57606576283005
2008,Mayor de 74 anos,16048.6562673809,10982.8,258063.412766793,151505.8,1.88761467230878,2.0316986496091
2011,Menor de 35 anos,33200.59166568,25776,101752.302181286,68326.8,1,1
2011,Entre 35 y 44 anos,32300.7710857465,27115.4,169502.91275399,115462.6,1.66583860139102,1.68985815229163
2011,Entre 45 y 54 anos,38866.0859482216,29380.4,254906.634654572,161753.84,2.50516822902365,2.36735570815551
2011,Entre 55 y 64 anos,43805.2929350776,28538.2,409105.308540734,232007.6,4.02060002349485,3.39555781918661
2011,Entre 65 y 74 anos,27853.3612836901,18655.2,350892.874597557,192010.5,3.44850059483068,2.81017843657247
2011,Mayor de 74 anos,18389.0228518384,12198.6,255755.423325939,153005.4,2.51350994368927,2.2393175152356
2014,Menor de 35 anos,25726.1361906402,20919.8,81336.5196110697,4760,1,1
2014,Entre 35 y 44 anos,33024.3636789192,28072,121164.264917989,69090.3,1.48966621017675,14.514768907563
2014,Entre 45 y 54 anos,33649.8538970872,24970,212226.03394934,124279,2.60923426480688,26.1090336134454
2014,Entre 55 y 64 anos,37312.0700068702,27075.6,361464.36909943,186905.8,4.44405994782983,39.2659243697479
2014,Entre 65 y 74 anos,30015.6410473337,22361.2,391988.518214339,206843.2,4.81934216129148,43.4544537815126
2014,Mayor de 74 anos,18640.6226211944,13813,270859.578528468,126743.6,3.33011026072482,26.6268067226891
2017,Menor de 35 anos,26647.1269045825,22000,46893.4422720144,5297.2,1,1
2017,Entre 35 y 44 anos,35907.564536926,29613.4,134921.447874002,64858.4,2.87719223279375,12.2439024390244
2017,Entre 45 y 54 anos,38032.2055924948,27795.2,239618.608386871,114380.92,5.10985324977675,21.5927131314657
2017,Entre 55 y 64 anos,40366.006983932,28303,313482.33262554,174464.672,6.68499298488529,32.9352624027788
2017,Entre 65 y 74 anos,33603.0250349304,24867.2,368477.405388109,180544.6,7.85775979614985,34.0830249943366
2017,Mayor de 74 anos,22916.1290203007,15259.8,333782.721418166,129520.8,7.11789762589821,24.4508041984445
2020,Menor de 35 anos,31612.703799125,28255.8,68168.4549288547,23968.6,1,1
2020,Entre 35 y 44 anos,39740.6573906855,33299.2,139997.157449773,70000,2.05369415510273,2.92048763799304
2020,Entre 45 y 54 anos,37388.6777300531,30583.8,268697.045625521,116480.84,3.94166254620193,4.85972647547208
2020,Entre 55 y 64 anos,43837.1522893608,32011,330425.759506107,160650.2,4.84719449562063,6.70252747344442
2020,Entre 65 y 74 anos,34655.3805130184,26010.8,363660.291799466,197925.4,5.33472985677917,8.25769548492611
2020,Mayor de 74 anos,27397.5805707614,17647.8,381243.572277328,165187.8,5.59266852498301,6.89184182638953
2022,Menor de 35 anos,31373.3036025503,26900,76839.4985364313,20069.4,1,1
2022,Entre 35 y 44 anos,40389.5871897141,32326.6,185342.906332369,76932.8,2.41207855156022,3.83333831604333
2022,Entre 45 y 54 anos,43141.9217216373,34200,257792.071684505,128172.6,3.35494214036653,6.38646895273401
2022,Entre 55 y 64 anos,44961.1294141034,32822.2,388459.110157747,189872.6,5.05546128692615,9.46080102045901
2022,Entre 65 y 74 anos,38646.7683038352,27416.6,442044.618239681,223960.25,5.75283059701513,11.1592897645171
2022,Mayor de 74 anos,28087.8704321976,19651.6,454993.059679048,221254.4,5.92134342812409,11.0244651060819
