year,regten,mean_renthog,median_renthog,mean_riquezanet,median_riquezanet,ratio_mean_wealth_alq,ratio_median_wealth_alq,ratio_mean_income_alq,ratio_median_income_alq
2002,Alquiler,20167.6776305624,17075.2,18834.2835518531,1078,1,1,1,1
2002,Propiedad,29428.073732959,22192.2,164695.853778877,109376.8,8.74447139576341,101.462708719852,1.45917017675666,1.29967438155922
2002,Cesion,21965.5779483203,16585.8,48839.3933334656,3367.6,2.59311129085451,3.1239332096475,1.08914761286314,0.971338549475262
2002,Casero,42513.4021848446,33339.4,433498.53291759,294494,23.0164599425359,273.185528756957,2.10799691286315,1.95250421664168
2002,Casero_Multi,86698.6385980959,54819.4,1123482.82020005,626664.4,59.6509454212561,581.32133580705,4.29889054090748,3.21046898425787
2005,Alquiler,20036.7361281612,15367.6,21311.1922158104,1373.2,1,1,1,1
2005,Propiedad,30768.5486502102,22523.574,278830.111180933,201267.192,13.0837406165421,146.568010486455,1.53560682006316,1.46565332257477
2005,Cesion,20569.8609452018,16356,51147.1887238605,3813,2.40001536309711,2.77672589571803,1.02660736826749,1.06431713475103
2005,Casero,60190.0400158285,35110,777795.186119366,513552.26,36.4970283334188,373.982129332945,3.00398426324698,2.28467685259897
2005,Casero_Multi,72350.5647518512,46143.666,1519616.6694364,1011516.38,71.3060374120703,736.612569181474,3.61089572119303,3.00265923110961
2008,Alquiler,24493.8069979416,20683,48700.6728354361,960,1,1,1,1
2008,Propiedad,33391.0090090751,25951.2,298892.270269322,199690.2,6.1373334877591,208.010625,1.36324292144056,1.25471159889765
2008,Cesion,23736.6698578015,19236.4,64235.5172900253,2713.4,1.31898623879557,2.82645833333333,0.96908862961957,0.930058502151526
2008,Casero,58228.6511748954,43550,837851.846927072,563035.496,17.2041123488837,586.495308333333,2.3772805582974,2.10559396605908
2008,Casero_Multi,88360.5936087728,44303.2,1436080.84175294,810194.1,29.4879055697152,843.9521875,3.60746672071836,2.14201034666151
2011,Alquiler,25461.3360809728,17316.2,46844.5583346865,2041,1,1,1,1
2011,Propiedad,33115.9639211078,24960,267719.348522329,174730.2,5.71505758704302,85.6100930916218,1.30063731988736,1.44142479296843
2011,Cesion,18866.8422751113,14360,61433.4487409911,7620,1.31143191279706,3.73346398824106,0.740999695189227,0.829281251082801
2011,Casero,61209.0099655815,44169.8,678418.094384054,380432.2,14.4823244897949,186.39500244978,2.40399835149746,2.55077903928114
2011,Casero_Multi,99931.5919348502,52500,1860820.6720703,980314,39.7233048666068,480.310632043116,3.92483692203131,3.0318430140562
2014,Alquiler,24841.7705556813,15740,56509.2355537718,860,1,1,1,1
2014,Propiedad,31027.5264151053,24012.8,252584.358824577,143954.2,4.46978898846062,167.388604651163,1.24900623913094,1.52559085133418
2014,Cesion,18465.2286074126,15463.2,41308.9066780507,1862.6,0.731011599665737,2.16581395348837,0.743313708901059,0.982414231257941
2014,Casero,48000.6634257487,40785.2,582459.492477853,338784.6,10.3073327177397,393.935581395349,1.93225612957652,2.59118170266836
2014,Casero_Multi,77133.0837434972,59137,1471648.24299436,868500,26.042614602245,1009.88372093023,3.10497529033239,3.75711562897078
2017,Alquiler,23072.1861017914,17623.4,33372.5140919421,1392,1,1,1,1
2017,Propiedad,34371.2849012177,26862.4,260997.057248346,147578.4,7.82071906627388,106.018965517241,1.48972814060948,1.5242461727022
2017,Cesion,19491.3862980709,14918.8,45774.7070946015,3000,1.37162896893207,2.1551724137931,0.844800150799647,0.846533586027668
2017,Casero,64809.8165595983,44420.2,648140.165077469,336288.6,19.4213766242431,241.586637931035,2.80900198505968,2.52052384897352
2017,Casero_Multi,83641.9906852528,64247.6,1355747.51591201,895910.9,40.6246743106286,643.614152298851,3.62523041016727,3.64558484741877
2020,Alquiler,24783.6295571593,20780.2,33425.9034249314,1080,1,1,1,1
2020,Propiedad,36621.938097928,30000,284984.3012081,153959.4,8.52585186958744,142.555,1.47766645775049,1.44368196648733
2020,Cesion,27739.0855410462,16666.2,78468.1953607846,10000,2.34752653842282,9.25925925925926,1.11925032921714,0.802023079662371
2020,Casero,65617.6857155949,49012.6,638311.268325027,369041.4,19.0963056468634,341.705,2.64762211540721,2.3586202250219
2020,Casero_Multi,84386.9313267989,68359.2,1325752.15874595,802919.6,39.6624181519389,743.444074074074,3.4049464438683,3.28963147611669
2022,Alquiler,26763.1306204885,21335.2,33362.5142772346,2217.8,1,1,1,1
2022,Propiedad,40718.113232466,32120.4,324221.382771558,193919.4,9.71813395349507,87.4377310848589,1.52142564372847,1.50551201769845
2022,Cesion,23946.8086276209,18392.2,112620.475150221,14054.4,3.37565910693575,6.33709081071332,0.894768589190697,0.862058944842326
2022,Casero,63288.029467554,50959.6,771818.501033753,407975.2,23.1343026074152,183.95491027144,2.36474687378702,2.38852225430275
2022,Casero_Multi,96443.5170211054,80375.8,1936066.74614125,996826,58.0312002282859,449.466137613852,3.60359624547335,3.7672859874761
