year,regten,mean_renthog,median_renthog,mean_riquezanet,median_riquezanet,ratio_mean_wealth_alq,ratio_median_wealth_alq,ratio_mean_income_alq,ratio_median_income_alq,mean_renthog_IPC,median_renthog_IPC,mean_riquezanet_IPC,median_riquezanet_IPC
2002,Alquiler,20167.6776305624,17075.2,18834.2835518531,1078,1,1,1,1,30040.1090939824,25433.809494468,28053.9952576031,1605.69988258038
2002,Propiedad,29428.073732959,22192.2,164695.853778877,109376.8,8.74447139576341,101.462708719852,1.45917017675666,1.29967438155922,43833.6312964555,33055.6706254177,245317.359066993,162918.659477753
2002,Cesion,21965.5779483203,16585.8,48839.3933334656,3367.6,2.59311129085451,3.1239332096475,1.08914761286314,0.971338549475262,32718.1131098591,24704.8396219867,72747.1318560694,5016.09918791994
2002,Casero,50112.9317327542,38336.8,552146.062608128,338209.4,29.3160109376076,313.737847866419,2.48481419877579,2.24517428785607,74644.089609501,57103.3351192092,822431.231815483,503768.825480131
2005,Alquiler,20036.7361281612,15367.6,21311.1922158104,1373.2,1,1,1,1,27288.0758317153,20929.1688760665,29023.7604333149,1870.16415709769
2005,Propiedad,30768.5486502102,22523.574,278830.111180933,201267.192,13.0837406165421,146.568010486455,1.53560682006316,1.46565332257477,41903.7553535827,30674.9059019353,379739.353226147,274106.239788887
2005,Cesion,20569.8609452018,16356,51147.1887238605,3813,2.40001536309711,2.77672589571803,1.02660736826749,1.06431713475103,28014.1397146811,22275.2730508956,69657.4709348057,5192.93324425685
2005,Casero,62354.8828069488,36557.73,909843.363529007,570474.648,42.6932174566006,415.434494611127,3.11202794747146,2.37888349514563,84921.2546210187,49788.0544063902,1239117.71558779,776930.701443725
2008,Alquiler,24493.8069979416,20683,48700.6728354361,960,1,1,1,1,29985.5597555346,25320.3322977046,59619.8433164936,1175.24145461473
2008,Propiedad,33391.0090090751,25951.2,298892.270269322,199690.2,6.1373334877591,208.010625,1.36324292144056,1.25471159889765,40877.6020821655,31769.7146218726,365906.860921267,244462.709500318
2008,Cesion,23736.6698578015,19236.4,64235.5172900253,2713.4,1.31898623879557,2.82645833333333,0.96908862961957,0.930058502151526,29058.6650118668,23549.390330782,78637.7528936029,3321.77100307458
2008,Casero,65020.835153529,43602.8,972702.276320477,625598,19.9730767500343,651.664583333333,2.65458265262698,2.10814678721655,79599.1467563518,53378.9771846614,1190791.70638535,765863.232837566
2011,Alquiler,25461.3360809728,17316.2,46844.5583346865,2041,1,1,1,1,29636.7810364355,20155.9111490082,54526.6718800009,2375.70683262642
2011,Propiedad,33115.9639211078,24960,267719.348522329,174730.2,5.71505758704302,85.6100930916218,1.30063731988736,1.44142479296843,38546.703457318,29053.2300550493,311623.069824004,203384.48309955
2011,Cesion,18866.8422751113,14360,61433.4487409911,7620,1.31143191279706,3.73346398824106,0.740999695189227,0.829281251082801,21960.8457143885,16714.9192143633,71508.0176020469,8869.61590622898
2011,Casero,68326.7146959526,45096,895760.420776848,428804.6,19.1219738774562,210.095345418912,2.68354788918611,2.60426652498816,79531.7211925972,52491.3646859977,1042657.595314,499124.947614719
2014,Alquiler,24841.7705556813,15740,56509.2355537718,860,1,1,1,1,27553.6606898887,17458.2813365395,62678.1532662343,953.883224232781
2014,Propiedad,31027.5264151053,24012.8,252584.358824577,143954.2,4.46978898846062,167.388604651163,1.24900623913094,1.52559085133418,34414.6941125679,26634.1942870429,280158.119286462,159669.181904477
2014,Cesion,18465.2286074126,15463.2,41308.9066780507,1862.6,0.731011599665737,2.16581395348837,0.743313708901059,0.982414231257941,20481.0137212025,17151.2640383213,45818.4570832442,2065.93359704183
2014,Casero,52058.0897877538,44236.4,706295.898310006,376964.8,12.4987692965325,438.331162790698,2.09558693375212,2.81044472681067,57741.09131877,49065.5347214546,783399.777607368,418116.742844495
2017,Alquiler,23072.1861017914,17623.4,33372.5140919421,1392,1,1,1,1,25256.5009069574,19291.861469907,36531.9926214162,1523.78492039621
2017,Propiedad,34371.2849012177,26862.4,260997.057248346,147578.4,7.82071906627388,106.018965517241,1.48972814060948,1.5242461727022,37625.3201344235,29405.5460098069,285706.451223287,161550.100931178
2017,Cesion,19491.3862980709,14918.8,45774.7070946015,3000,1.37162896893207,2.1551724137931,0.844800150799647,0.846533586027668,21336.6957748691,16331.2086712694,50108.3393723471,3284.01922499183
2017,Casero,68286.1487524655,47582.6,778769.121736998,396096.4,23.335644404598,284.552011494253,2.9596739750276,2.69996708921094,74751.0084345829,52087.3910583655,852497.589204769,433596.064183352
2020,Alquiler,24783.6295571593,20780.2,33425.9034249314,1080,1,1,1,1,26423.5449706836,22155.2112830537,35637.6720486956,1151.46284375021
2020,Propiedad,36621.938097928,30000,284984.3012081,153959.4,8.52585186958744,142.555,1.47766645775049,1.44368196648733,39045.1860980409,31985.0789930613,303841.512864115,164146.785690811
2020,Cesion,27739.0855410462,16666.2,78468.1953607846,10000,2.34752653842282,9.25925925925926,1.11925032921714,0.802023079662371,29574.5614075216,17768.9907838053,83660.380901922,10661.6929976871
2020,Casero,69739.1070880799,52976.6,789303.67230557,440412.8,23.61353296189,407.78962962963,2.81391823288991,2.54937873552709,74353.6949705932,56482.024526127,841531.3436069,469554.606585177
2022,Alquiler,26763.1306204885,21335.2,33362.5142772346,2217.8,1,1,1,1,26763.1306204885,21335.2,33362.5142772346,2217.8
2022,Propiedad,40718.113232466,32120.4,324221.382771558,193919.4,9.71813395349507,87.4377310848589,1.52142564372847,1.50551201769845,40718.113232466,32120.4,324221.382771558,193919.4
2022,Cesion,23946.8086276209,18392.2,112620.475150221,14054.4,3.37565910693575,6.33709081071332,0.894768589190697,0.862058944842326,23946.8086276209,18392.2,112620.475150221,14054.4
2022,Casero,69994.0107255911,56379.2,1007312.20054585,489501.4,30.1929342667439,220.714852556588,2.61531476710005,2.64254377741948,69994.0107255911,56379.2,1007312.20054585,489501.4
