year,bage,mean_renthog,median_renthog,mean_riquezanet,median_riquezanet,ratio_mean_wealth,ratio_median_wealth,ratio_mean_renthog,ratio_median_renthog,mean_renthog_IPC,median_renthog_IPC,mean_riquezanet_IPC,median_riquezanet_IPC
2002,Menor de 35 anos,26940.6192306555,23017.8,80423.5666492267,48343.4,1,1,1,1,40128.5242442544,34285.4162868819,119792.311248014,72008.3410979002
2002,Entre 35 y 44 anos,29877.571460931,23869.4,122934.628469556,87319.8,1.52858961112412,1.806240355457,1.10901576556687,1.03699745414418,44503.1660358106,35553.8894037701,183113.282466261,130064.37162054
2002,Entre 45 y 54 anos,37072.7909680396,27717.8,191473.427289137,120983.4,2.38081243181196,2.50258359982955,1.37609275609578,1.20418980093667,55220.5715253323,41286.1486135311,285203.023854759,180206.893482537
2002,Entre 55 y 64 anos,34183.8975074916,25034,214159.590461351,121819.4,2.66289595679614,2.51987654984962,1.26886086822363,1.08759308013798,50917.5141130974,37288.5815032628,318994.461277601,181452.130126171
2002,Entre 65 y 74 anos,21134.0674263835,15170.6,147742.171959316,97881.4,1.83705073170535,2.02471071542341,0.784468510001258,0.659081232785062,31479.5636224396,22596.8744329072,220064.553030839,145796.059820782
2002,Mayores de 74 anos,13596.5261967646,9729.8,115244.518871593,73465,1.43296950972394,1.51964901103356,0.504684991846558,0.422707643649697,20252.263931026,14492.7075301768,171658.729517764,109427.404335592
2005,Menor de 35 anos,27111.2094435311,21904.4,126365.849593331,71136.332,1,1,1,1,36922.8168925578,29831.6514438761,172097.933724618,96880.7299547055
2005,Entre 35 y 44 anos,34012.066204495,25315.272,197908.061118748,157567.966,1.56615147016107,2.21501392565476,1.2545388753437,1.15571629444313,46321.1091789108,34476.9256638354,269531.431914493,214592.165977271
2005,Entre 45 y 54 anos,37365.5323261789,28880.75,318739.98906614,218426.546,2.52235861264657,3.07053428056988,1.3782318492285,1.31849080550026,50888.202204555,39332.7581416394,434092.70534897,297475.602452556
2005,Entre 55 y 64 anos,36402.9458430584,25645.266,387828.532553479,230018.494,3.06909290604687,3.23348825463759,1.34272673887459,1.17078148682456,49577.2535162076,34926.3452318935,528184.547539552,313262.702409256
2005,Entre 65 y 74 anos,20377.6325120885,14048.978,234651.013897123,180711.13,1.85691794620361,2.54034928312019,0.751631259923404,0.641376983619729,27752.3433808743,19133.3346194684,319571.741637804,246110.892888597
2005,Mayores de 74 anos,12962.7082173706,9323.058,199567.624101915,134524.28,1.57928447238048,1.89107698159079,0.478130945960568,0.425624897280912,17653.9413683675,12697.0935815197,271791.594460055,183208.918377057
2008,Menor de 35 anos,31166.4438340257,26463,136714.032028131,74571,1,1,1,1,38154.2674861131,32396.2652223641,167366.664444776,91290.5526167445
2008,Entre 35 y 44 anos,34967.5076107955,29468.6,200570.735993597,149828.8,1.46708229592941,2.00921001461694,1.12196013754447,1.11357744775725,42807.5671966279,36075.750343187,245540.670335689,183421.892557478
2008,Entre 45 y 54 anos,41423.6457983004,31280,316883.524490433,197435.2,2.31785662224657,2.64761368360355,1.32911043745955,1.18202773684012,50711.2351494164,38293.2840628632,387931.931526643,241702.116291822
2008,Entre 55 y 64 anos,41669.8804454066,31045,425809.067169554,270516.4,3.11459665736387,3.62763540786633,1.33701107085929,1.17314741336961,51012.6780294598,38005.5947484523,521279.65363384,331168.841076187
2008,Entre 65 y 74 anos,24477.1770871559,17799.6,321921.742925641,192099.8,2.35470886309169,2.57606576283005,0.785369585875983,0.672622151683482,29965.2012549702,21790.4456203753,394099.768154207,235170.467065831
2008,Mayores de 74 anos,16048.6562673809,10982.8,258063.412766793,151505.8,1.88761467230878,2.0316986496091,0.514933829244256,0.415024751539886,19646.9230586338,13445.2519247319,315923.77146134,185474.892473508
2011,Menor de 35 anos,33200.59166568,25776,101752.302181286,68326.8,1,1,1,1,38645.2094401744,30003.0471914643,118438.823874351,79531.8204857909
2011,Entre 35 y 44 anos,32300.7710857465,27115.4,169502.91275399,115462.6,1.66583860139102,1.68985815229163,0.972897453485333,1.05196306641837,37597.8258537531,31562.097525428,197299.964713246,134397.495214508
2011,Entre 45 y 54 anos,38866.0859482216,29380.4,254906.634654572,161753.84,2.50516822902365,2.36735570815551,1.17064437705181,1.13983550589696,45239.7971311298,34198.5384739331,296709.178652952,188280.109207036
2011,Entre 55 y 64 anos,43805.2929350776,28538.2,409105.308540734,232007.6,4.02060002349485,3.39555781918661,1.31941302059264,1.10716170080695,50988.9925188956,33218.2247578929,476195.138051917,270054.894924673
2011,Entre 65 y 74 anos,27853.3612836901,18655.2,350892.874597557,192010.5,3.44850059483068,2.81017843657247,0.838941714176815,0.723743016759777,32421.078252462,21714.4958863363,408436.354581746,223498.606950522
2011,Mayores de 74 anos,18389.0228518384,12198.6,255755.423325939,153005.4,2.51350994368927,2.2393175152356,0.553876359704981,0.473254189944134,21404.6679247604,14199.0677944521,297697.161527044,178096.998632405
2014,Menor de 35 anos,25726.1361906402,20919.8,81336.5196110697,4760,1,1,1,1,28534.569461139,23203.5421794243,90215.7460168372,5279.63272947446
2014,Entre 35 y 44 anos,33024.3636789192,28072,121164.264917989,69090.3,1.48966621017675,14.514768907563,1.2836892191737,1.34188663371543,36629.5191910272,31136.5231054217,134391.34846717,76632.648985128
2014,Entre 45 y 54 anos,33649.8538970872,24970,212226.03394934,124279,2.60923426480688,26.1090336134454,1.30800263388677,1.19360605741929,37323.2920119948,27695.8884989448,235394.015732247,137846.108400495
2014,Entre 55 y 64 anos,37312.0700068702,27075.6,361464.36909943,186905.8,4.44405994782983,39.2659243697479,1.45035654520266,1.29425711526879,41385.299582503,30031.3495651594,400924.183537014,207309.65945559
2014,Entre 65 y 74 anos,30015.6410473337,22361.2,391988.518214339,206843.2,4.81934216129148,43.4544537815126,1.16673723659498,1.06890123232536,33292.3447205168,24802.2948299001,434780.548391307,229423.556426309
2014,Mayores de 74 anos,18640.6226211944,13813,270859.578528468,126743.6,3.33011026072482,26.6268067226891,0.724579178274595,0.660283559116244,20675.5548925714,15320.9174143342,300428.381489613,140579.7602545
2017,Menor de 35 anos,26647.1269045825,22000,46893.4422720144,5297.2,1,1,1,1,29169.892348482,24082.8076499401,51332.9886491133,5798.70221287558
2017,Entre 35 y 44 anos,35907.564536926,29613.4,134921.447874002,64858.4,2.87719223279375,12.2439024390244,1.34752105416479,1.34606363636364,39307.0440873,32416.9916391244,147694.876227319,70998.7441674034
2017,Entre 45 y 54 anos,38032.2055924948,27795.2,239618.608386871,114380.92,5.10985324977675,21.5927131314657,1.4272535169994,1.26341818181818,41632.8314448649,30426.6570541643,262304.038869425,125209.713417418
2017,Entre 55 y 64 anos,40366.006983932,28303,313482.33262554,174464.672,6.68499298488529,32.9352624027788,1.5148352439073,1.2865,44187.5809904624,30982.5320416479,343160.669012519,190981.778976631
2017,Entre 65 y 74 anos,33603.0250349304,24867.2,368477.405388109,180544.6,7.85775979614985,34.0830249943366,1.26103745275262,1.13032727272727,36784.3267441978,27221.4542905723,403362.29442322,197637.312456153
2017,Mayores de 74 anos,22916.1290203007,15259.8,333782.721418166,129520.8,7.11789762589821,24.4508041984445,0.859984984586081,0.693627272727273,25085.6694216869,16704.4921898435,365382.958035783,141782.932412107
2020,Menor de 35 anos,31612.703799125,28255.8,68168.4549288547,23968.6,1,1,1,1,33704.4942733087,30125.4665004047,72679.1138578119,25554.5854784363
2020,Entre 35 y 44 anos,39740.6573906855,33299.2,139997.157449773,70000,2.05369415510273,2.92048763799304,1.25711035801327,1.17849078773208,42370.2688625753,35502.5847468582,149260.671327834,74631.8509838097
2020,Entre 45 y 54 anos,37388.6777300531,30583.8,268697.045625521,116480.84,3.94166254620193,4.85972647547208,1.18271053205794,1.08239016414329,39862.6603547287,32607.5086302663,286476.540984483,124188.295619271
2020,Entre 55 y 64 anos,43837.1522893608,32011,330425.759506107,160650.2,4.84719449562063,6.70252747344442,1.38669417737606,1.13290014793423,46737.8259602021,34129.1454548962,352289.80063817,171280.311241703
